ID	PROVINCIA	COMUNE	LOCALITA	CAMERE	SUITE	LETTI	BAGNI	PRIMA_COLAZIONE	IN_ABITATO	SUL_LAGO	VICINO_ELIPORTO	VICINO_AEREOPORTO	ZONA_CENTRALE	VICINO_IMP_RISALITA	ZONA_PERIFERICA	ZONA_STAZIONE_FS	ATTREZZATURE_VARIE	CARTE_ACCETTATE	LINGUE_PARLATE	SPORT	CONGRESSI	LATITUDINE	LONGITUDINE	OUTPUT
0	BS	PERTICA BASSA		2	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.37350135	45.75138129	B&B
1	BS	DESENZANO DEL GARDA		4	0	8	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.5389467	45.4694851	B&B
2	BG	BERGAMO		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accettazione animali domestici					9.66535496	45.70415788	Case_Appartamenti
3	MN	MANTOVA	BOCCABUSA	93	2	194	96	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Bar,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Lavaggio e stiratura biancheria,Servizi baby sitting,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Access. diversamente abili totale,Riscaldamento,Parcheggio non custodito,Internet point,Jacuzzi/Idromassaggio,Servizio in camera,WI-FI in aree comuni,Access. diversamente abili parziale,Televisione satellitare,Sala accoglienza	American express,Visa,Master Card,Diners,Maestro,Bancomat,CartaSi,AmexCo,Visa Electron	Inglese,Francese,Spagnolo,Tedesco,Rumeno,Serbo,Croato		Numero sale congressi 3,Congressi capacita' Min 3,Congressi capacita' Max 110	10.828175	45.1655055	4_a_5_Stelle
4	MI	MILANO		2	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.15163677	45.45717732	Case_Appartamenti
5	LC	DERVIO		3	0	10	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Accesso a vetture private,Biciclette per ospiti,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Francese,Spagnolo			9.30795069	46.07650686	B&B
6	CR	CREMONA		1	0	2	1	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Biciclette per ospiti,Parco o giardino,Sala televisione separata					10.02881085	45.1326381	B&B
7	BS	TREMOSINE		2	0	5	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.77432818	45.79351997	Case_Appartamenti
8	SO	LIVIGNO		8	0	25	8	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.1363165	46.5378006	Case_Appartamenti
9	MI	PERO		2	0	6	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Parco o giardino,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana	American express,Visa,Master Card,Bancomat,CartaSi	Francese,Spagnolo			9.06977973	45.5191378	B&B
10	BG	CASTIONE DELLA PRESOLANA		27	3	54	27	0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Ascensore,Ristorante,Ristorante vegetariano,Bar,Giochi per bambini,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Pulizia calzature,Servizi baby sitting,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Sauna privata,Solarium,Fitness/centro salute	American express,Visa,Master Card,Diners,Bancomat,CartaSi	Inglese,Francese,Spagnolo,Tedesco	Sci montano,Campo da calcetto,Pattinaggio su ghiaccio,Fitness/centro salute,Campo da bocce,Campo da tennis,Equitazione		10.04119471	45.91100083	1_a_3_Stelle
